# k1/kF k2/kF k3/kF P(k1) P(k2)       P(k3)       B0+BSN        BSN    N_tr    B2      B4
# 
22 16 14 7.16902695e+01 1.04202759e+02 1.31471008e+02 4.95361797e+04 1.56897871e+04 3.06895200e+06 1.28842324e+04 -8.73668359e+03
22 16 16 7.16902695e+01 1.04202759e+02 1.04202759e+02 4.02046328e+04 1.44741602e+04 3.49303175e+06 9.73988574e+03 8.81532422e+03
22 18 4 7.16902695e+01 8.87933197e+01 3.98782349e+02 1.09225805e+05 2.69196523e+04 4.69661969e+05 4.39547422e+04 -2.10404805e+04
22 18 6 7.16902695e+01 8.87933197e+01 3.13019745e+02 8.47278203e+04 2.30963281e+04 1.43648600e+06 2.58287637e+04 -9.56786914e+03
22 18 8 7.16902695e+01 8.87933197e+01 2.20283844e+02 6.34110664e+04 1.89621328e+04 2.00944800e+06 8.44750586e+03 9.32630957e+03
22 18 10 7.16902695e+01 8.87933197e+01 1.90377258e+02 5.75846953e+04 1.76288887e+04 2.52285600e+06 2.24642363e+04 1.68267461e+04
22 18 12 7.16902695e+01 8.87933197e+01 1.56465820e+02 4.82113828e+04 1.61171064e+04 2.98533600e+06 6.63394043e+03 6.84726758e+03
22 18 14 7.16902695e+01 8.87933197e+01 1.31471008e+02 4.10144492e+04 1.50028291e+04 3.49212000e+06 3.54085718e+03 -6.32542725e+03
22 18 16 7.16902695e+01 8.87933197e+01 1.04202759e+02 3.95625977e+04 1.37872031e+04 3.97435200e+06 9.61609277e+03 -8.61181934e+03
22 18 18 7.16902695e+01 8.87933197e+01 8.87933197e+01 3.89079336e+04 1.31002451e+04 4.52061600e+06 5.26844482e+03 -1.36100830e+03
22 20 2 7.16902695e+01 7.83916702e+01 6.35353516e+02 1.45856531e+05 3.70023555e+04 2.46380000e+05 1.02418812e+05 -2.51968237e+03
22 20 4 7.16902695e+01 7.83916702e+01 3.98782349e+02 9.78743828e+04 2.64559434e+04 1.07324600e+06 4.85335664e+04 -3.55142656e+04
22 20 6 7.16902695e+01 7.83916702e+01 3.13019745e+02 6.71582109e+04 2.26326191e+04 1.63912800e+06 1.27667031e+04 -7.37539795e+03
